N,P,K,ph,soil_type
78,53,14,7.03,Sandy
77,82,200,3.89,Acidic
120,32,176,6.46,Clay
92,52,106,9.46,Alkaline
97,100,17,5.82,Loamy
81,113,165,7.06,Clay
37,77,164,4.14,Acidic
13,104,131,4.35,Acidic
135,33,52,8.75,Alkaline
90,62,9,5.3,Acidic
53,52,65,5.33,Acidic
129,27,126,5.82,Clay
100,31,94,9.3,Alkaline
88,11,107,4.01,Acidic
55,53,94,8.41,Alkaline
93,113,7,5.55,Loamy
92,72,28,8.6,Alkaline
83,77,121,9.45,Alkaline
84,105,102,5.59,Sandy
21,12,166,4.28,Acidic
34,57,88,4.37,Acidic
15,139,123,8.05,Alkaline
49,141,46,4.37,Acidic
121,7,152,5.06,Acidic
127,82,45,4.73,Acidic
112,90,86,5.63,Loamy
16,50,106,3.95,Acidic
79,94,152,8.64,Alkaline
129,13,10,8.66,Alkaline
131,119,126,5.98,Loamy
84,134,189,7.17,Clay
93,79,174,7.35,Loamy
133,85,29,8.0,Alkaline
80,132,45,6.62,Sandy
68,38,173,6.56,Clay
68,43,7,7.29,Sandy
15,17,112,7.72,Alkaline
50,137,175,5.58,Clay
104,54,178,5.48,Acidic
65,27,61,5.12,Acidic
8,126,87,6.79,Sandy
106,124,78,5.66,Loamy
99,92,183,6.74,Loamy
85,116,137,5.94,Clay
63,115,90,8.52,Alkaline
21,76,205,3.94,Acidic
109,61,101,6.93,Loamy
96,5,19,6.95,Sandy
17,117,92,5.8,Sandy
70,66,98,6.03,Sandy
126,51,130,8.3,Alkaline
96,82,104,5.18,Acidic
0,110,43,8.73,Alkaline
131,130,202,8.88,Alkaline
3,9,83,7.4,Sandy
124,35,170,8.14,Alkaline
81,41,43,7.18,Sandy
26,83,56,6.65,Sandy
58,56,135,9.3,Alkaline
31,143,161,5.2,Acidic
27,47,130,4.42,Acidic
105,44,163,5.22,Acidic
104,67,70,7.19,Loamy
69,134,49,4.61,Acidic
61,91,205,8.95,Alkaline
33,77,26,5.97,Sandy
86,108,87,8.6,Alkaline
113,20,142,5.0,Acidic
105,63,153,5.38,Acidic
55,51,21,3.86,Acidic
112,120,71,5.05,Acidic
12,113,11,6.44,Sandy
17,13,105,9.18,Alkaline
112,69,40,5.83,Loamy
38,63,71,7.34,Sandy
78,106,81,6.07,Sandy
29,140,162,3.78,Acidic
97,127,91,6.52,Loamy
57,95,203,3.9,Acidic
66,100,161,8.8,Alkaline
70,62,76,8.02,Alkaline
105,36,165,5.77,Clay
6,52,63,7.34,Sandy
39,49,24,4.17,Acidic
69,104,161,7.72,Alkaline
67,104,185,8.44,Alkaline
48,50,133,8.43,Alkaline
51,130,166,5.21,Acidic
113,50,176,5.08,Acidic
106,125,113,6.63,Loamy
28,92,18,9.31,Alkaline
77,65,169,9.02,Alkaline
8,50,167,5.66,Clay
75,85,191,8.18,Alkaline
41,49,28,9.03,Alkaline
127,122,197,5.07,Acidic
19,51,114,8.48,Alkaline
71,27,138,5.11,Acidic
64,65,200,5.56,Clay
112,17,42,4.69,Acidic
23,11,133,6.54,Clay
127,145,45,8.56,Alkaline
82,32,35,6.67,Sandy
62,100,40,4.24,Acidic
59,111,205,5.01,Acidic
98,102,109,6.88,Loamy
61,116,186,7.0,Clay
29,5,113,6.96,Sandy
21,47,35,3.96,Acidic
125,46,161,8.02,Alkaline
41,99,117,8.96,Alkaline
97,133,135,6.56,Loamy
30,55,190,7.81,Alkaline
111,19,65,8.98,Alkaline
121,129,10,7.36,Loamy
16,91,24,7.55,Alkaline
37,57,115,7.83,Alkaline
109,93,65,5.06,Acidic
21,110,178,7.0,Clay
55,10,145,8.55,Alkaline
118,35,27,5.28,Acidic
56,44,83,8.88,Alkaline
34,73,35,7.22,Sandy
113,139,8,6.04,Loamy
124,17,122,7.24,Clay
128,8,70,5.91,Sandy
51,7,148,8.53,Alkaline
84,144,119,6.39,Sandy
64,69,35,8.91,Alkaline
128,31,180,6.56,Clay
20,111,127,7.46,Clay
15,54,47,9.49,Alkaline
122,21,8,4.38,Acidic
60,36,194,7.92,Alkaline
53,21,52,4.33,Acidic
25,38,160,8.53,Alkaline
79,39,148,7.08,Clay
64,54,93,9.13,Alkaline
99,107,130,8.7,Alkaline
73,37,81,3.95,Acidic
16,93,201,4.32,Acidic
120,133,162,7.11,Loamy
22,89,69,6.61,Sandy
134,63,73,4.51,Acidic
70,14,18,4.28,Acidic
107,61,79,6.88,Loamy
78,70,166,3.79,Acidic
45,123,188,8.74,Alkaline
77,116,33,8.34,Alkaline
15,19,83,8.21,Alkaline
70,17,157,3.6,Acidic
95,118,98,3.79,Acidic
1,122,70,6.8,Sandy
9,118,119,9.47,Alkaline
124,38,44,5.55,Sandy
80,105,147,5.57,Clay
139,29,36,4.31,Acidic
69,116,24,7.55,Alkaline
31,58,57,7.38,Sandy
104,16,199,4.11,Acidic
83,130,53,6.3,Sandy
128,141,199,7.5,Loamy
57,35,93,6.46,Sandy
133,82,86,7.55,Alkaline
44,57,5,8.4,Alkaline
96,116,171,7.61,Alkaline
22,47,65,7.2,Sandy
22,46,187,8.62,Alkaline
134,128,201,8.9,Alkaline
78,71,134,5.83,Clay
43,70,98,4.54,Acidic
26,87,21,8.41,Alkaline
25,98,161,4.78,Acidic
96,109,121,9.07,Alkaline
35,35,110,3.64,Acidic
108,122,136,9.03,Alkaline
54,32,205,7.04,Clay
68,8,196,8.15,Alkaline
60,142,89,5.89,Sandy
129,22,47,9.45,Alkaline
54,51,80,4.87,Acidic
121,13,144,5.09,Acidic
96,33,54,3.81,Acidic
79,96,200,9.14,Alkaline
86,68,65,6.24,Sandy
37,115,205,7.55,Alkaline
118,128,108,7.62,Alkaline
77,114,55,8.75,Alkaline
34,122,81,7.49,Sandy
78,104,102,6.87,Sandy
66,35,87,7.76,Alkaline
86,85,82,8.01,Alkaline
33,50,9,4.62,Acidic
96,53,160,4.16,Acidic
70,46,142,3.95,Acidic
2,116,92,5.74,Sandy
57,31,184,6.49,Clay
31,92,21,7.19,Sandy
30,125,69,9.25,Alkaline
81,7,128,5.48,Acidic
42,64,25,8.07,Alkaline
134,83,186,6.69,Loamy
104,36,115,4.82,Acidic
0,11,181,7.19,Clay
60,75,111,9.3,Alkaline
13,132,26,4.25,Acidic
5,62,73,6.54,Sandy
102,116,196,3.81,Acidic
9,52,40,5.43,Acidic
70,115,153,7.22,Clay
89,75,188,8.55,Alkaline
125,79,77,7.88,Alkaline
96,78,95,6.28,Loamy
73,125,180,8.96,Alkaline
114,59,130,5.32,Acidic
50,45,150,8.02,Alkaline
55,101,103,6.34,Sandy
40,37,19,8.89,Alkaline
31,38,48,8.28,Alkaline
14,66,177,8.91,Alkaline
61,23,101,4.79,Acidic
27,14,40,7.51,Alkaline
63,124,172,7.93,Alkaline
129,127,183,7.95,Alkaline
126,108,34,6.52,Loamy
35,145,30,3.57,Acidic
113,9,89,5.07,Acidic
12,62,105,5.44,Acidic
14,63,125,8.61,Alkaline
88,132,35,8.55,Alkaline
21,90,188,4.13,Acidic
73,108,193,9.2,Alkaline
24,133,21,4.59,Acidic
100,42,102,5.99,Sandy
116,111,130,4.79,Acidic
40,113,28,8.66,Alkaline
87,57,126,8.0,Alkaline
109,56,136,5.62,Loamy
119,5,141,7.59,Alkaline
96,15,134,4.61,Acidic
56,62,167,5.79,Clay
129,132,127,5.76,Loamy
95,48,42,4.93,Acidic
120,10,177,8.76,Alkaline
61,12,147,7.57,Alkaline
136,9,174,5.18,Acidic
67,110,135,4.95,Acidic
80,116,163,3.61,Acidic
16,21,184,5.58,Clay
116,13,173,6.66,Clay
49,82,61,5.17,Acidic
111,18,46,7.7,Alkaline
93,117,57,5.97,Loamy
84,95,123,5.4,Acidic
73,29,125,9.13,Alkaline
108,102,60,5.08,Acidic
17,7,91,5.89,Sandy
41,143,80,5.79,Sandy
100,116,204,4.95,Acidic
44,51,185,4.8,Acidic
81,54,89,5.31,Acidic
16,128,89,8.69,Alkaline
72,94,164,8.1,Alkaline
13,71,85,7.59,Alkaline
131,6,186,6.24,Clay
81,6,169,6.55,Clay
119,69,12,5.1,Acidic
119,95,15,3.95,Acidic
46,120,186,5.49,Acidic
106,53,192,6.47,Loamy
107,73,142,3.84,Acidic
8,136,202,4.03,Acidic
78,130,119,5.08,Acidic
14,57,85,5.7,Sandy
18,116,91,5.86,Sandy
89,143,46,4.21,Acidic
25,117,41,4.85,Acidic
91,118,96,5.07,Acidic
81,142,190,3.91,Acidic
130,52,89,5.46,Acidic
41,35,63,3.93,Acidic
18,41,156,7.72,Alkaline
16,112,160,5.82,Clay
75,32,41,5.46,Acidic
62,74,25,4.26,Acidic
130,18,165,4.86,Acidic
106,126,134,4.9,Acidic
48,20,87,9.41,Alkaline
54,29,160,8.51,Alkaline
98,70,147,3.59,Acidic
51,42,5,7.2,Sandy
99,107,111,5.04,Acidic
116,102,32,4.13,Acidic
117,119,54,7.73,Alkaline
6,44,39,4.29,Acidic
45,68,160,6.16,Clay
45,93,141,7.29,Clay
99,104,156,6.83,Loamy
53,86,195,9.37,Alkaline
61,81,136,8.21,Alkaline
128,63,188,8.15,Alkaline
48,95,45,5.63,Sandy
24,102,71,3.55,Acidic
9,143,52,7.91,Alkaline
117,5,90,9.5,Alkaline
91,17,62,5.94,Sandy
133,34,43,9.41,Alkaline
79,22,29,4.35,Acidic
70,82,64,5.28,Acidic
77,145,121,4.52,Acidic
42,36,90,6.35,Sandy
89,75,118,8.28,Alkaline
77,54,179,5.54,Clay
25,120,193,8.94,Alkaline
120,117,88,6.77,Loamy
44,84,159,6.29,Clay
62,35,128,8.22,Alkaline
67,55,115,4.11,Acidic
1,64,46,8.14,Alkaline
107,37,56,4.96,Acidic
29,131,52,5.18,Acidic
48,130,36,7.1,Sandy
139,45,156,8.91,Alkaline
43,23,135,6.97,Clay
12,45,122,7.39,Clay
77,89,159,8.16,Alkaline
125,93,205,5.06,Acidic
97,46,172,8.46,Alkaline
25,124,27,6.01,Sandy
47,27,139,4.55,Acidic
65,37,131,5.6,Clay
86,24,41,4.98,Acidic
78,94,11,4.87,Acidic
22,108,81,5.2,Acidic
80,16,86,4.59,Acidic
47,55,99,7.51,Alkaline
123,10,26,6.98,Sandy
129,95,82,7.39,Loamy
83,73,86,5.56,Sandy
19,127,149,8.12,Alkaline
45,119,23,4.28,Acidic
130,115,99,6.93,Loamy
11,65,43,5.15,Acidic
39,111,121,6.67,Clay
65,82,40,5.44,Acidic
99,99,19,8.24,Alkaline
77,78,195,8.85,Alkaline
15,52,161,7.96,Alkaline
82,100,64,4.55,Acidic
43,35,188,5.15,Acidic
133,38,172,9.02,Alkaline
99,91,148,6.12,Loamy
21,139,165,9.15,Alkaline
17,87,93,5.85,Sandy
11,139,20,9.21,Alkaline
122,51,162,9.05,Alkaline
116,140,102,7.46,Loamy
50,133,198,3.55,Acidic
70,129,108,5.9,Sandy
47,81,48,8.97,Alkaline
18,7,170,8.81,Alkaline
5,96,55,4.62,Acidic
83,104,192,5.9,Clay
52,131,22,8.51,Alkaline
106,72,9,6.97,Loamy
100,137,172,8.58,Alkaline
47,94,10,8.46,Alkaline
134,93,80,8.94,Alkaline
68,14,119,4.2,Acidic
10,12,16,4.37,Acidic
130,16,16,4.0,Acidic
121,68,77,9.11,Alkaline
68,122,110,6.35,Sandy
22,63,154,3.89,Acidic
36,54,53,5.43,Acidic
8,44,182,5.61,Clay
14,126,8,8.36,Alkaline
130,101,182,7.91,Alkaline
92,131,7,7.64,Alkaline
16,91,148,3.63,Acidic
71,81,18,8.96,Alkaline
120,125,68,4.79,Acidic
10,115,124,7.27,Clay
71,133,173,3.87,Acidic
105,45,72,3.99,Acidic
124,141,63,3.56,Acidic
34,27,134,6.9,Clay
118,82,123,7.28,Loamy
13,15,14,3.8,Acidic
13,75,79,5.24,Acidic
9,30,94,8.61,Alkaline
139,34,105,4.11,Acidic
37,106,158,4.8,Acidic
107,73,136,6.05,Loamy
118,137,32,8.55,Alkaline
33,65,134,5.03,Acidic
9,110,70,9.48,Alkaline
121,27,148,5.63,Clay
114,117,128,5.82,Loamy
0,34,61,4.23,Acidic
11,71,155,7.58,Alkaline
102,135,155,4.96,Acidic
3,125,25,7.27,Sandy
140,87,107,4.84,Acidic
97,66,157,5.83,Loamy
105,61,62,8.64,Alkaline
84,5,41,7.93,Alkaline
120,106,181,4.43,Acidic
131,73,147,7.15,Loamy
81,63,160,7.27,Clay
18,50,199,4.04,Acidic
129,110,136,6.29,Loamy
11,38,51,5.06,Acidic
80,105,182,6.3,Clay
73,101,192,8.16,Alkaline
97,33,194,4.45,Acidic
5,127,199,4.24,Acidic
135,77,107,5.12,Acidic
124,8,76,9.21,Alkaline
50,42,175,7.99,Alkaline
10,24,93,3.62,Acidic
126,117,62,5.91,Loamy
139,27,109,5.04,Acidic
72,115,184,7.33,Clay
1,140,73,6.26,Sandy
7,49,50,9.29,Alkaline
138,101,157,4.81,Acidic
123,37,29,7.03,Sandy
52,139,125,7.7,Alkaline
9,26,39,8.45,Alkaline
111,137,193,5.94,Loamy
7,19,19,7.62,Alkaline
35,25,110,5.32,Acidic
105,130,132,6.11,Loamy
13,93,78,8.87,Alkaline
85,21,92,9.2,Alkaline
49,60,167,7.81,Alkaline
19,54,33,5.75,Sandy
86,139,42,8.42,Alkaline
134,122,201,3.66,Acidic
136,126,28,4.12,Acidic
128,54,23,7.47,Loamy
37,64,178,5.25,Acidic
43,129,53,9.21,Alkaline
85,120,48,6.12,Sandy
43,139,205,6.08,Clay
73,92,158,7.57,Alkaline
118,109,157,8.11,Alkaline
121,59,39,6.35,Loamy
133,68,168,4.78,Acidic
50,100,146,8.14,Alkaline
37,48,60,5.42,Acidic
50,134,138,4.55,Acidic
9,54,36,7.29,Sandy
119,115,30,4.04,Acidic
69,141,147,9.33,Alkaline
84,103,181,7.29,Clay
56,88,60,9.42,Alkaline
125,34,41,5.53,Sandy
38,69,129,9.33,Alkaline
32,28,57,4.37,Acidic
17,94,190,3.74,Acidic
56,110,105,3.7,Acidic
95,81,82,6.29,Loamy
47,72,40,4.0,Acidic
41,113,105,6.57,Sandy
26,101,15,5.47,Acidic
73,137,31,5.51,Sandy
109,96,6,7.31,Loamy
31,92,26,4.48,Acidic
25,54,70,8.1,Alkaline
24,107,116,6.99,Sandy
74,116,21,8.99,Alkaline
22,50,136,5.69,Clay
56,15,18,9.4,Alkaline
125,16,11,6.95,Sandy
86,145,83,9.34,Alkaline
30,68,148,3.66,Acidic
63,12,108,7.87,Alkaline
32,13,198,8.4,Alkaline
1,134,151,3.82,Acidic
17,82,5,6.97,Sandy
83,145,35,8.31,Alkaline
34,6,132,6.87,Clay
113,78,136,3.88,Acidic
109,135,95,7.66,Alkaline
87,138,62,3.86,Acidic
71,91,60,8.4,Alkaline
124,9,185,3.76,Acidic
29,135,47,4.32,Acidic
52,142,78,5.15,Acidic
137,18,53,7.3,Sandy
86,128,116,9.36,Alkaline
138,47,112,4.21,Acidic
12,32,64,4.36,Acidic
39,28,98,5.71,Sandy
88,21,148,8.52,Alkaline
67,87,77,6.3,Sandy
41,49,103,5.43,Acidic
93,78,192,6.87,Loamy
18,143,118,5.06,Acidic
22,65,179,5.91,Clay
53,42,19,5.5,Sandy
64,70,67,8.32,Alkaline
139,37,32,9.05,Alkaline
23,47,152,8.06,Alkaline
33,116,195,6.13,Clay
52,39,165,6.53,Clay
135,41,40,4.25,Acidic
17,104,129,7.98,Alkaline
56,27,145,7.08,Clay
111,93,66,8.91,Alkaline
4,19,200,4.7,Acidic
12,136,155,8.06,Alkaline
82,26,204,7.61,Alkaline
28,82,17,5.1,Acidic
2,76,92,7.5,Sandy
89,102,44,9.05,Alkaline
103,94,162,9.01,Alkaline
122,113,128,7.82,Alkaline
75,98,29,3.79,Acidic
129,84,205,8.73,Alkaline
107,98,158,7.45,Loamy
81,84,28,5.36,Acidic
76,42,101,4.62,Acidic
1,138,43,4.2,Acidic
126,138,113,3.8,Acidic
134,30,65,8.02,Alkaline
25,105,181,4.92,Acidic
87,79,173,3.65,Acidic
15,42,202,5.88,Clay
72,87,24,6.4,Sandy
31,60,176,4.52,Acidic
14,109,20,3.76,Acidic
140,35,153,4.63,Acidic
4,62,19,7.57,Alkaline
73,77,171,3.99,Acidic
51,136,46,6.83,Sandy
76,14,193,4.38,Acidic
109,77,8,4.67,Acidic
105,19,156,5.86,Clay
126,102,135,4.1,Acidic
6,67,118,4.54,Acidic
39,23,133,5.59,Clay
98,117,145,5.48,Acidic
84,67,58,8.0,Alkaline
64,120,86,3.95,Acidic
131,25,44,8.66,Alkaline
10,85,131,8.4,Alkaline
107,70,143,8.1,Alkaline
25,69,46,5.36,Acidic
84,47,97,8.44,Alkaline
122,61,8,4.6,Acidic
67,142,29,4.25,Acidic
103,41,104,3.77,Acidic
79,124,168,9.14,Alkaline
52,73,196,5.35,Acidic
105,60,129,9.01,Alkaline
43,123,176,5.14,Acidic
139,59,44,8.95,Alkaline
89,42,96,8.92,Alkaline
100,19,177,9.04,Alkaline
96,81,140,6.48,Loamy
8,57,89,8.7,Alkaline
11,11,39,9.2,Alkaline
68,59,176,5.45,Acidic
27,56,150,6.01,Clay
55,8,51,7.82,Alkaline
98,47,157,5.3,Acidic
109,44,173,8.02,Alkaline
76,125,9,3.94,Acidic
102,34,196,6.64,Clay
105,142,194,4.23,Acidic
108,107,129,5.26,Acidic
111,11,115,5.05,Acidic
57,113,76,8.53,Alkaline
77,24,91,4.66,Acidic
74,53,7,8.35,Alkaline
41,100,169,8.26,Alkaline
67,63,97,6.49,Sandy
32,94,45,4.9,Acidic
70,30,152,4.86,Acidic
55,40,199,6.29,Clay
104,130,91,3.55,Acidic
100,47,172,6.69,Clay
50,103,89,9.22,Alkaline
73,37,140,4.43,Acidic
120,104,137,6.94,Loamy
4,101,29,9.27,Alkaline
82,49,43,8.66,Alkaline
50,92,169,8.6,Alkaline
9,99,129,8.43,Alkaline
139,21,109,5.35,Acidic
3,144,9,8.84,Alkaline
94,26,140,9.15,Alkaline
79,94,8,6.47,Sandy
35,82,173,5.63,Clay
24,144,64,5.99,Sandy
97,118,58,5.51,Loamy
100,72,154,4.77,Acidic
8,114,82,7.21,Sandy
60,129,23,6.88,Sandy
52,145,103,6.28,Sandy
62,61,72,4.08,Acidic
120,59,37,8.28,Alkaline
104,86,154,4.55,Acidic
3,111,197,4.19,Acidic
92,106,143,7.24,Loamy
27,115,20,5.89,Sandy
79,111,200,3.86,Acidic
75,106,131,5.63,Clay
115,7,97,8.13,Alkaline
68,29,48,7.19,Sandy
97,79,13,5.68,Loamy
0,65,204,4.65,Acidic
95,127,82,7.29,Loamy
16,59,83,8.83,Alkaline
111,43,194,7.38,Clay
90,87,90,8.38,Alkaline
87,38,19,6.63,Sandy
89,117,10,7.81,Alkaline
48,31,5,8.88,Alkaline
37,35,24,8.14,Alkaline
131,141,168,8.96,Alkaline
58,87,134,6.09,Clay
67,14,74,8.93,Alkaline
129,44,6,7.23,Sandy
48,58,135,8.72,Alkaline
125,139,11,3.74,Acidic
110,8,88,7.45,Sandy
47,10,196,8.59,Alkaline
50,77,173,4.55,Acidic
42,62,58,7.47,Sandy
97,81,45,8.45,Alkaline
123,23,119,5.23,Acidic
79,66,137,5.93,Clay
110,75,106,6.92,Loamy
26,142,86,6.62,Sandy
112,29,67,3.74,Acidic
85,131,5,4.09,Acidic
113,62,29,4.1,Acidic
123,124,178,5.07,Acidic
48,115,147,4.98,Acidic
75,80,201,7.95,Alkaline
54,74,149,6.94,Clay
55,142,153,8.08,Alkaline
94,70,185,3.92,Acidic
43,124,59,6.41,Sandy
86,91,111,5.44,Acidic
83,143,142,8.6,Alkaline
15,126,189,7.75,Alkaline
36,53,69,8.72,Alkaline
76,52,41,3.78,Acidic
44,119,116,7.82,Alkaline
61,91,11,6.74,Sandy
99,11,80,8.45,Alkaline
51,81,44,6.54,Sandy
18,125,182,6.74,Clay
108,128,5,3.81,Acidic
43,145,152,7.51,Alkaline
6,129,112,5.14,Acidic
116,16,163,3.62,Acidic
67,75,72,3.9,Acidic
33,5,16,9.24,Alkaline
68,123,154,5.58,Clay
54,115,133,8.71,Alkaline
9,68,130,9.26,Alkaline
41,47,5,9.16,Alkaline
40,45,135,8.79,Alkaline
121,119,121,8.87,Alkaline
137,43,153,5.23,Acidic
9,5,17,4.41,Acidic
101,45,193,7.34,Clay
127,92,145,6.43,Loamy
135,102,109,4.09,Acidic
91,92,165,7.57,Alkaline
112,83,138,6.88,Loamy
77,145,29,8.68,Alkaline
84,75,155,7.16,Clay
29,141,92,6.94,Sandy
48,103,105,6.14,Sandy
8,91,30,6.28,Sandy
68,5,136,9.23,Alkaline
57,116,106,4.33,Acidic
61,78,167,6.18,Clay
51,69,104,7.43,Sandy
39,73,29,6.1,Sandy
62,71,152,5.2,Acidic
49,54,5,5.22,Acidic
140,62,98,4.9,Acidic
77,57,72,5.56,Sandy
96,95,27,8.73,Alkaline
42,119,110,6.53,Sandy
35,122,154,4.94,Acidic
121,61,99,5.81,Loamy
107,90,66,4.13,Acidic
9,22,133,8.92,Alkaline
94,20,191,5.95,Clay
5,134,72,9.38,Alkaline
56,17,151,5.59,Clay
128,84,34,8.52,Alkaline
70,47,133,5.04,Acidic
20,58,52,3.96,Acidic
91,141,23,3.69,Acidic
126,77,131,7.14,Loamy
79,52,184,5.37,Acidic
55,22,154,6.16,Clay
115,15,54,8.41,Alkaline
24,88,198,4.99,Acidic
4,23,138,5.35,Acidic
119,104,196,8.57,Alkaline
20,120,153,6.46,Clay
17,94,151,8.47,Alkaline
56,78,169,5.75,Clay
92,28,67,5.89,Sandy
18,17,161,4.5,Acidic
127,129,192,9.0,Alkaline
96,120,166,8.88,Alkaline
130,75,133,9.41,Alkaline
20,130,52,5.91,Sandy
39,123,93,8.41,Alkaline
66,95,131,5.99,Clay
126,89,153,6.23,Loamy
54,112,166,8.48,Alkaline
108,131,158,4.56,Acidic
97,125,40,4.82,Acidic
111,133,155,5.39,Acidic
114,10,85,8.23,Alkaline
116,82,51,5.74,Loamy
86,42,176,5.65,Clay
80,120,152,9.49,Alkaline
65,106,31,5.8,Sandy
18,12,193,4.99,Acidic
134,82,169,7.24,Loamy
117,116,56,8.31,Alkaline
41,59,79,3.92,Acidic
41,52,96,7.21,Sandy
58,92,66,3.71,Acidic
19,14,70,6.66,Sandy
72,56,156,5.04,Acidic
16,38,84,5.34,Acidic
26,65,144,6.3,Clay
1,83,148,9.06,Alkaline
62,22,168,7.76,Alkaline
61,75,134,9.12,Alkaline
99,90,194,7.46,Loamy
18,36,68,3.54,Acidic
16,47,33,5.09,Acidic
68,87,91,8.93,Alkaline
116,73,100,7.36,Loamy
80,54,35,9.39,Alkaline
38,16,87,4.44,Acidic
35,89,147,5.28,Acidic
131,127,187,5.67,Loamy
28,62,37,5.46,Acidic
50,87,184,5.01,Acidic
13,116,104,6.16,Sandy
68,132,152,7.35,Clay
56,40,77,5.37,Acidic
11,58,170,3.98,Acidic
16,51,135,7.75,Alkaline
29,119,186,6.25,Clay
87,128,198,6.84,Clay
98,100,22,6.23,Loamy
22,111,130,8.84,Alkaline
128,124,11,6.85,Loamy
78,105,167,9.04,Alkaline
31,107,128,6.56,Clay
8,36,118,5.26,Acidic
14,70,88,5.63,Sandy
26,15,88,6.63,Sandy
108,41,87,6.68,Sandy
75,106,109,7.62,Alkaline
64,53,106,4.85,Acidic
108,23,97,7.45,Sandy
128,11,64,8.17,Alkaline
9,137,106,7.56,Alkaline
46,46,28,6.39,Sandy
122,92,113,9.45,Alkaline
58,139,171,5.93,Clay
95,15,144,4.14,Acidic
102,45,98,8.43,Alkaline
123,7,185,4.77,Acidic
85,44,68,7.78,Alkaline
111,55,8,4.57,Acidic
26,36,98,3.6,Acidic
17,52,137,4.46,Acidic
81,75,20,5.76,Sandy
71,93,31,4.14,Acidic
53,113,136,4.69,Acidic
70,39,76,8.09,Alkaline
37,112,52,8.12,Alkaline
136,44,140,8.4,Alkaline
34,56,85,8.55,Alkaline
81,116,178,6.02,Clay
132,43,48,8.71,Alkaline
3,72,199,6.66,Clay
22,80,56,6.32,Sandy
47,69,38,7.81,Alkaline
124,66,194,4.78,Acidic
54,6,25,8.24,Alkaline
67,138,28,6.08,Sandy
87,126,48,4.26,Acidic
0,79,118,4.22,Acidic
134,44,173,4.49,Acidic
94,93,161,8.84,Alkaline
139,32,107,9.45,Alkaline
105,84,138,5.64,Loamy
132,67,60,5.25,Acidic
107,144,18,4.81,Acidic
41,45,182,8.44,Alkaline
101,33,105,4.76,Acidic
123,27,184,9.04,Alkaline
139,84,5,7.5,Loamy
102,55,16,8.88,Alkaline
73,116,119,6.82,Sandy
107,109,110,7.64,Alkaline
121,49,156,7.22,Clay
16,94,41,8.49,Alkaline
70,142,202,8.52,Alkaline
61,139,7,7.04,Sandy
40,93,159,7.3,Clay
118,19,57,9.03,Alkaline
44,81,104,9.08,Alkaline
57,110,21,7.49,Sandy
125,94,117,3.55,Acidic
43,91,114,4.13,Acidic
14,65,147,8.65,Alkaline
77,112,171,4.01,Acidic
69,65,8,4.78,Acidic
100,55,149,4.88,Acidic
2,16,143,7.1,Clay
85,81,16,6.96,Sandy
73,116,36,5.24,Acidic
50,70,159,4.75,Acidic
66,119,176,8.09,Alkaline
75,34,47,9.11,Alkaline
92,109,181,3.82,Acidic
6,35,108,4.3,Acidic
12,17,97,7.35,Sandy
119,132,205,8.33,Alkaline
65,105,47,8.25,Alkaline
3,71,135,7.82,Alkaline
137,84,161,8.82,Alkaline
87,107,89,4.8,Acidic
16,23,39,4.14,Acidic
51,36,121,7.19,Clay
133,69,180,8.43,Alkaline
68,31,171,6.99,Clay
136,51,156,9.28,Alkaline
20,16,24,8.27,Alkaline
23,89,147,7.7,Alkaline
3,70,89,3.86,Acidic
2,137,121,4.15,Acidic
67,141,110,8.21,Alkaline
100,114,150,4.69,Acidic
53,86,192,3.67,Acidic
34,129,109,8.96,Alkaline
55,67,97,8.84,Alkaline
107,76,45,4.81,Acidic
39,102,104,8.18,Alkaline
67,77,73,3.79,Acidic
45,75,110,5.21,Acidic
77,34,143,7.24,Clay
140,129,188,8.08,Alkaline
5,20,150,3.56,Acidic
16,137,144,5.46,Acidic
98,51,148,4.79,Acidic
80,105,31,9.49,Alkaline
1,111,104,7.53,Alkaline
76,130,149,5.93,Clay
65,26,89,3.95,Acidic
51,87,123,7.09,Clay
91,64,35,7.35,Loamy
21,62,113,8.4,Alkaline
110,7,167,5.23,Acidic
106,49,31,9.39,Alkaline
66,54,91,6.14,Sandy
139,6,164,5.28,Acidic
68,19,21,5.59,Sandy
83,100,15,6.62,Sandy
102,89,133,9.12,Alkaline
38,115,86,7.91,Alkaline
12,27,53,6.96,Sandy
40,103,45,4.48,Acidic
56,41,24,4.4,Acidic
11,111,75,6.51,Sandy
12,45,41,7.87,Alkaline
119,61,130,8.01,Alkaline
96,101,148,4.86,Acidic
56,29,43,4.1,Acidic
39,114,113,5.81,Sandy
117,41,177,9.01,Alkaline
79,44,68,6.77,Sandy
127,89,179,5.42,Acidic
34,50,27,5.44,Acidic
2,106,36,4.29,Acidic
119,102,181,6.34,Loamy
4,23,127,8.25,Alkaline
10,95,23,9.31,Alkaline
125,141,110,6.51,Loamy
70,73,71,4.5,Acidic
116,9,171,7.6,Alkaline
137,52,93,8.04,Alkaline
105,116,64,3.93,Acidic
115,22,15,8.6,Alkaline
66,35,53,8.48,Alkaline
30,133,147,6.34,Clay
74,135,132,6.86,Clay
70,29,65,7.78,Alkaline
65,12,175,7.56,Alkaline
69,66,147,3.6,Acidic
40,139,205,4.23,Acidic
19,11,9,4.48,Acidic
139,140,33,8.03,Alkaline
38,23,194,6.14,Clay
44,143,192,6.77,Clay
138,115,73,8.14,Alkaline
